ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
4536,มะตูมบ้าน,มะตูมลูกใหญ่,มะตูมบ้าน/  มะปิน/  หมากปิน/  บ่าปีน,มะตูม/  หมากตูม/  หมักตูม/  บักตูม,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4537,มะนาว,ลูกนาว/  ส้มนาว,มะนาว/  หมากนาว/  บ่านาว/  ส้มมะนาว/  มะลิว,มะนาว/  หมากนาว/  หมักนาว/  บักนาว/  มะพาม,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4538,มะนาวไม่รู้โห่/  หนามแดง,นาวไม่รู้โห่,หนามขี้แรด/  หนามขี้แฮด,มะนาวไม่รู้โห่/  บักนาวบ่รู้โห่/  มะนาวป่า/  บักนาวอินเดีย/  หนามพรม,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4539,มะปราง/  มะปรางหวาน/  มะปราง เปรี้ยว/  มะยง/  กาวาง,มะปราง/  ลูกปราง/  ปราง,มะยงชิด/  มะผาง/  มะผางกำปอ/  ส้มปาน,มะปราง/  หมากปราง/  หมักปราง/  บักปราง,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4540,มะปริง,ปริง/  ลูกปริง/  ส้มปริง/  โด้ง/  ตง,มะปริง/  หมากปริง/  บ่าปริง,มะปริง/  หมากปริง/  หมักปริง/  บักปริง,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4541,มะฝ่อ,หูควาย,มะฝ่อ/  มะปอบต้น/  มะปอบ/  ไม้ปอบ/  บะก่อ/  ก่อ,มะฝ่อ/  หมากฝ่อ/  หมักฝ่อ/  บักฝ่อ,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4542,มะพร้าว,พร้าว/  ป้าว,มะพร้าว/  มะป๊าว/  หมากป๊าว/  บ่าป๊าว,มะพร้าว/  หมากพร้าว/  บักพร้าว,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4543,มะพร้าวก้นจุก,พร้าว,,หมากพร้าวหัวจุก,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4544,มะพร้าวกลาง,พร้าวกลางปี,,มะพร้าวกะจา/  หมากพร้าวกะจา/  มักพร้าวกะจา,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4545,มะพร้าวกะทิ,พร้าวทิ/  พร้าวเท่,,มะพร้าวกะทิ/  หมากพร้าวกะทิ/  บักพร้าวกะทิ,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4546,มะพร้าวกะลาชอ,,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4547,มะพร้าวกะโหลกใหญ/  มะพร้าว กะโหลกใหญ่พิเศษ,พร้าวโอ/  พร้าวหนัก,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4548,มะพร้าวแก้ว,พร้าวแก้ว,มะพร้าวแก้ว/  มะป๊าวแก้ว,มะพร้าวแก้ว/  หมากพร้าวแก้ว/  บักพร้าวแก้ว,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4549,มะพร้าวคั่ว,พร้าวย่าง/  พร้าวคั่ว,มะพร้าวคั่ว,มะพร้าวคั่ว,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4550,มะพร้าวเงินมะพร้าวทอง,,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4551,มะพร้าวซอ/  มะพร้าวใหญ่,พร้าวหนัก,,มะพร้าวหลอด/  หมากพร้าวหลอด/  บักพร้าวหลอด,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4552,มะพร้าวตื่นดก,พร้าวตื่นดก/  พร้าวดก,,มะพร้าวตื่นดก/  หมากพร้าวลูกดก/  หมากพร้าวดก,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4553,มะพร้าวทะลายร้อย,พร้าวเรียว,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4554,มะพร้าวนกคุ้ม,พร้าวนกคุ้ม,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4555,มะพร้าวนํ้าตาล,พร้าวตาล/  ตาลพร้าว,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4556,มะพร้าวนํ้าหอม,พร้าวน้ำหอม,มะพร้าวนํ้าหอม/  หมากป๊าวนํ้า หอม/  บ่าป๊าวนํ้าหอม,มะพร้าวนํ้าหอม/  หมากพร้าว นํ้าหอม/  บักพร้าวนํ้าหอม,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4557,มะพร้าวนิ่ม,เหมงพร้าว,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4558,มะพร้าวเบา/  มะพร้าวอ่อน,มะพร้าวเบา/  พร้าวเบา/  พร้าวอ่อน/  พร้าวสามปี,,มะพร้าวอ่อน/  หมากพร้าวอ่อน/  บักพร้าวอ่อน,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4559,มะพร้าวปะทิว,,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นมีสะโพกและขนาดลำต้นใหญ่ ใบย่อยกว้างสั้น ผลสีเขียวรูปกลมรีเล็กน้อย
4560,มะพร้าวปากจก,,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง มีผลยาวรีเป็นเหลี่ยม กะลาหนา เนื้อมะพร้าวมีนํ้ามันสูง นิยมใช้ทำมะพร้าวแห้ง
4561,มะพร้าวเปลือกหวาน,พร้าวหวาน/  พร้าวลี,,หมักพร้าวขาว,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง เปลือกสีขาว มีรสหวานเล็กน้อย อ่อนนุ่ม ไม่มีเสี้ยน รับประทานได้ ผลค่อนข้างกลม เป็นพันธุ์ที่หายากและใกล้สูญพันธุ์
4562,มะพร้าวพวง,พร้าวเรียว,,,น.,มะพร้าวที่ออกดอกตัวเมียเป็นจำนวนมาก ผลค่อนข้างกลม
4563,มะพร้าวไฟ,พร้าวไฟ/  พร้าวลิเก,มะพร้าวไฟ/  หมากป๊าวไฟ/  บ่าป๊าวไฟ,มะพร้าวไฟ/  หมากพร้าวไฟ/  บักพร้าวไฟ,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง เปลือกผลมีสีส้มและสีนํ้าตาลแดงเข้ม ใต้กลีบดอกติดอยู่กับ ผลเป็นสีชมพู
4564,มะพร้าวหมูสี,พร้าวหมูสี,,มะพร้าวหมูสี/  หมากพร้าวหมูสี/  บักพร้าวหมูสี/  มะพร้าวเตี้ย/  หมากพร้าวเตี้ย/  บักพร้าวเตี้ย,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลูกเล็ก นํ้ากินได้ นิยมปลูกกันทั่วไป
4565,มะพร้าวหมูสีเขียว/  มะพร้าวเขียว,พร้าวหมูสี,,มะพร้าวหมูสี/  มะพร้าวนํ้าหอม/  หมากพร้าวเตี้ย,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นบอบบางแต่แข็งแรง ทางใบสั้น ตกผลเร็ว ให้ผลดก เนื้อและนื้ามีรสหวาน
4566,มะพร้าวหมูสีเหลือง,พร้าวลูกแดง,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ผล ก้านทาง แกน ใบ มีสีเหลืองสดและสีเขียวอมนวล
4567,มะพร้าวหัวลิง,พร้าวลีบ,,มะพร้าวหัวลิง/  หมากพร้าวหัวลิง/  บักพร้าวหัวลิง/  มะพร้าวหลอด/  มากพร้าวหลอด/  บักพร้าวหลอด,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นสูงใหญ่ ผล เล็กมาก รูปร่างของผลเมื่อปอกเปลือกแล้วคล้ายหัวลิง ตาทั้งลองข้างมีรอยนูนออกมาคล้ายตาลิง นิยมใช้กะลาทำกระบวยหรอ กระจ่า
4568,มะพร้าวห้าว/  มะพร้าวแก่,พร้าวห้าว/  พร้าวแก่/  พร้าวสุก/  พร้าวแห้ง,มะพร้าวห้าว/  มะป๊าวห้าว/  มะป๊าวแก่/  มะป๊าวแห้ง/  มะป๊าว เปลือกผง,มะพร้าวห้าว/  มะพร้าวแก่/  หมักพร้าวห้าว/  หมักพร้าวแก่/  บักพร้าวห้าว/  บักพร้าวแก่,น.,ผลมะพร้าวแก่จัด หรือมะพร้าวที่ทิ้งไว้นานจนเนื้อแก่
4569,มะพร้าวเหล่าตาล/  มะพร้าวโตนด,โหนด,,,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลูกออกมาจากจั่น หรือทะลาย ไม่มีหางหนู ลูกคล้ายงวงตาลที่ทอดยาว ให้ผลดกมาก
4570,มะพร้าวใหญ่,พร้าวโอ/  พร้าวหนัก,,หมากพร้าวแกง/  บักพร้าวแกง,น.,ชื่อพันธุ์มะพร้าวชนิดหนึ่ง ลำต้นใหญ่ ต้นสูง ทางยาว ผลใหญ่ ผลมีทั้งกลมรีและเป็นเหลี่ยม มีนํ้ามันสูง ทำมะพร้าวแห้ง กะลา ใช้ทำกล่องเสียงของชอ
4571,มะพราวอ่อน,พร้าวอ่อน/  ลุอ่อน/  เหมงพร้าว,มะพร้าวอ่อน/  มะป๊าวอ่อน,มะพร้าวอ่อน/  หมากพร้าวอ่อน/  บักพร้าวอ่อน/  บักพร้าวน้อย/  มะพร้าวกะจา,น.,ผลอ่อนของมะพร้าว เนื้อและนํ้ารับประทานได้
4572,มะพลับ/  พลับ,ลูกพลับ/  พลับ,มะพลับ/  หมากพลับ/  บ่าพลับ/  ลูกพลับ,มะพลับ/  หมากพลับ/  หมักพลับ/  บักพลับ,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง ลำต้นมักคดงอ เปลือกสีนํ้าตาลปนดำ ใบเดี่ยว รูปหอกขนานเรียวยาว หนา ผิวเรียบ ดอกตัวผู้ช่อสั้น ดอกตัวเมียเป็นดอกเดี่ยว ผล กลม ผิวมีเกล็ดสีนํ้าตาลแดง เปลือกลำต้น และเนื้อไม้ใช้เป็นยา
4573,มะพลับจีน,ลูกพลับ,มะพลับ,มะพลับจีน/  หมากพลับจีน,น.,ชื่อพรรณไม้ยืนต้นชนิดหนึ่ง ใบขนาดย่อม เปลือกแตกเป็นเกล็ด ตามกิ่งมีช่องระบาย อากาศสีเทาปนนํ้าตาล หรือสีนํ้าตาลปนขาว  ใบเดี่ยวรูปกลมรีป้อม ปลายแหลม ขอบเรียบ ท้องใบสีเขียวอ่อน ออกดอกตัวผู้สีขาวเป็นช่อ ดอกตัวเมียเป็นดอกเดี่ยว ผล กลมแป้น แก่สีเหลือง รสหวานหอม ใบ ดอก ผล เมล็ด และยางจากผลดิบ ใช้เป็นยา
4574,มะพลับใหญ่,ลูกพลับ/  ต้นพลับ,มะพลับ/  หมากพลับ/  บ่าพลับ/  มะกั๊บตอง/  มะสู่ลัวะ,มะพลับใหญ่/  หมากพลับใหญ่/  บักพลับใหญ่,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง เปลือกต้นสีเทาปนดำ เนื้อไม้สีขาว ใบเดี่ยว รูปหอก เรียวยาว สีเขียวเข้ม ดอกตัวผู้ช่อสั้น ดอกตัวเมียเป็นดอกเดี่ยว ผลกลม เปลือก ลำต้นใช้เป็นยา
4575,มะพูด,พูด/  ลูกพูด/  มะโพ,บะพุด/  บะปุ๊ด,มะพู้ด/  มะพุ้ด/  ปะหูด,น.,ชื่อพรรณไม้พุ่มยืนต้นขนาดกลางชนิดหนึ่ง ใบรูปหอกโตปลายทู่หรือไข่ยาวปลายสอบหนา เรียบ ผิวมัน สีเขียวเข้ม ออกดอกเล็ก เป็นช่อสีเหลืองอมเขียว ผลกลมเรียบผิวมัน ปลายลูกมีฐานดอกเล็กติดอยู่สีเขียว สุกสี เหลือง เนื้อสีเหลือง รสเปรี้ยวอมหวาน ราก และนํ้ามันจากลูก ใช้เป็นยา
4576,มะแพร้ว,มะแพร้ว/  แพร้ว,,,น.,ชื่อมะพรัาวพันธุ์หนึ่ง ทะลายไม่แยกแขนง ดอกตัวเมียมีจำนวนมากติดกับก้านเดียว ดอกตัวผู้ติดอยู่ตอนปลายช่อดอก ผลดก แน่น มีจุกตอนปลาย
4577,มะเฟือง,เฟือง/  ลูกเฟือง/  ส้มเฟือง,มะเฟือง/  หมากเฟือง/  บ่าเฟือง,มะเฟือง/  หมากเฟือง/  หมักเฟือง/  บักเฟือง,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง มีหลายพันธุ์ แตกกิ่งก้านสาขามาก ลำต้นสั้น ใบสีเขียวเข้มมัน ออกดอกเล็กเป็นช่อสีม่วง ขาวชมพู ผลเป็นกลีบ หน้าตัดรูปดาว 5 แฉก สีเขียวอ่อน สุกสีเหลือง ฉํ่าน้ำ ใบ ดอก ผล เมล็ด เปลือกลำต้น และราก ใช้เป็นยา
4578,มะแฟน/  มะแพน/  กะแทน/  กระโปกหมา/  กะตีบ/  ค้อลิง/  ส้มแป้น,กะตีบ,มะแฟน/  หมากแฟน/  บ่าแฟน/  มะค้ายคอแลน,มะแฟน/  หมากแฟน/  บักแฟน/  มะแฟง/  หมากแฟง/  บักแฟง/  ส้มแป้น,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง ลำต้นสูงชะลูด ใบเป็นพุ่มตอนปลาย ใบย่อย รูปหอกป้านปลายแหลม ใบแก่สีแดงส้ม ออกดอกเป็นช่อตามง่ามใบ สีเขียว ผลแฝด สีแดง เมือลุกสีดำ รสหวานอมเปรี้ยว รากใช้เป็นยา
4579,มะไฟ,ไฟ/  ลูกไฟ/  ส้มไฟ,มะไฟ/  หมากไฟ/  บ่าไฟ,มะไฟ/  หมากไฟ/  บักไฟ,น.,ชื่อพรรณไม้ยืนต้นชนิดหนึ่ง ลำต้นตรง เปลือกเรียบ สีนวล ใบเดี่ยวรูปหอกยาว ผลสีเหลือง เปลือกหนาฉํ่านํ้า เมล็ดมีเนื้อหุ้ม แบ่งเป็นเม็ด รากและผลใช้เป็นยา
4580,มะไฟเดือนห้า,มะไฟเดือนห้า/  ไฟเดือนห้า,มะไฟ,มะไฟเดือนห้า/  หมากไฟเดือนห้า/  หมักไฟเดือนห้า/  บักไฟเดือนห้า,น.,ชื่อพรรณไม้ต้นลุกขนาดเล็กชนิดหนึ่ง ลำต้นเป็นเหลี่ยมตั้งตรง ใบเดี่ยวรูปหอกปลายแหลม มีสองชนิดคือ ใบและลำต้นสีแดง ดอกเล็กสีแดง ผลกลมเล็ก ๆ สีแดงใส และชนิดดอกเล็กสีขาว ผลกลม ใบ ราก และต้น ใช้เป็นยา
4581,มะม่วง/  มะม่วงบ้าน/  มะม่วงสวน,มะม่วง/  ม่วง,มะม่วง/  หมากม่วง/  บ่าม่วง,มะม่วง/  ม่วง/  หมากม่วง/  บักม่วง,น.,ชื่อพรรณไม้ยืนต้นขนาดใหญ่ชนิดหนึ่ง มีหลายพันธุ์ ต้นแข็งแรง ยอดอ่อน ช่ออ่อน ผลอ่อน และผลดิบรับประทานได้
4582,มะม่วงกวน,ม่วงกวนทำแผ่น,มะม่วงกวน/  หมากม่วงกวน/  บ่าม่วงกวน,มะม่วงกวน/  หมากม่วงกวน/  บักม่วงกวน,น.,ชื่อขนมชนิดหนึ่ง ทำจากมะม่วง นำมากวน
4583,มะม่วงกะล่อน/  กะล่อน/  ขี้ไต้,กะล่อน,,กะล่อน/  มะม่วงป้อม/  บักม่วงซี่,น.,ชื่อพันธุ์มะม่วงชนิดหนึ่ง ผลเล็ก เนื้อไม่มีเสี้ยน เมื่อสุกกลิ่นหอมแรง นิยมนำผลอ่อนและผลแก่มาแปรรูปเป็นของรับประทาน ทำ ให้เก็บไว้ได้นาน
4584,มะม่วงแก้ว,มะม่วงแก้ว/  ม่วงแก้ว,มะม่วงแก้ว,มะม่วงแก้ว/  ม่วงแก้ว/  มะม่วงใหญ่,น.,ชื่อพันธุ์มะม่วงชนิดหนึ่ง ผลป้อมเล็ก ผลดิบ เปรี้ยว สุกหวาน นิยมนำมาดองหรือแช่อิ่ม
4585,มะม่วงแช่อิ่ม,ม่วงแช่อิ่ม,มะม่วงแช่อิ่ม/  หมากม่วงแช่อิ่ม/  บ่าม่วงแช่อิ่ม,มะม่วงแช่อิ่ม/  หมากม่วงแช่อิ่ม/  บักม่วงแช่อิ่ม,น.,ชื่อของกินเล่นชนิดหนึ่ง ทำจากมะม่วงที่นำ ไปแช่ในนํ้าตาลเชื่อมจนอิ่มตัว
4586,มะม่วงดอง,ม่วงดอง,มะม่วงดอง/  หมากม่วงดอง/  บ่าม่วงดอง,มะม่วงดอง/  หมากม่วงดอง/  บักม่วงดอง/  ม่วงดอง,น.,ชื่อของกินเล่นชนิดหนึ่ง ทำจากมะม่วง นำไปแช่ในนํ้าเกลือ
4587,,มะม่วงนาทับ,,,น.,ชื่อพันธุ์มะม่วงชนิดหนึ่ง ลำต้นสูง ผลใหญ่ เนื้อหนา เมล็ดลีบแบน ดอกออกเป็นสีเหลืองอ่อน ผลรูปป้อม ยาวรีและอวบ เมื่อแก่จัดสีเหลืองนวล
4588,มะม่วงนํ้าปลาหวาน,ม่วงจุ้มนํ้าปลา,มะม่วงนํ้าปลาหวาน/  หมากม่วงนํ้า ปลาหวาน/  บ่าม่วงนํ้าปลาหวาน,มะม่วงนํ้าปลาหวาน/  บักม่วงนํ้าปลาหวาน,น.,ชื่อของกินเล่นชนิดหนึ่ง นำมะม่วงดิบที่รสค่อนข้างเปรี้ยว มารับประทานกับน้ำปลา หวานที่ทำจากกะปิ นํ้าตาลปี๊บนํ้าปลา เป็นต้น
4589,มะม่วงเบา,มะม่วงเบา/  ม่วงเบา,,มะม่วงเบา,น.,ชื่อพันธุ์มะม่วงชนิดหนึ่ง
4590,มะม่วงแผ่น,ม่วงแผ่น,มะม่วงแผ่น/  หมากม่วงแผ่น/  บ่าม่วงแผ่น,มะม่วงแผ่น/  หมากม่วงแผ่น/  บักม่วงกวน,น.,ชื่อขนมชนิดหนึ่ง ทำจากมะม่วงกวน นำไปตากทำเป็นแผ่น
4591,มะม่วงพรวน/  มะม่วงป่า/  มะม่วง กะล่อน/  มะม่วงเทพรส,มะม่วงขี้ไต้/  มะม่วงอะแฮม/  ม่วงคัน/  ส้มม่วงคัน/  ลูกม่วงคัน,มะม่วงกะสอ/  หมากม่วงกะสอ/  บ่าม่วงกะสอ/  มะม่วงขี้หีด/  หมากม่วงขี้หีด/  บ่าม่วงขี้หีด,มะม่วงป่า/  หมากม่วงป่า/  บักม่วงป่า/  มะม่วงกะล่อน/  มะม่วงคัน/  มะนาวป่า/  หมากม่วง พรวน,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางถึงใหญ่ชนิดหนึ่ง ลำต้นตั้งตรงกลม ใบรูปหอกปลายแหลมป้อม ออกดอกเล็กเป็นช่อชู ผลรูปขนาน เปลือกหนาเป็นหนัง สีเขียวเข้ม สุกสี เขียวอ่อนอมเหลือง เนื้อน้อยสีเหลือง หอม หวาน เมื่อดิบเปรี้ยวจัด เนื้อในเมล็ด และเปลือกลำด้นใช้เป็นยา
4592,มะม่วงมัน,มะม่วงมัน/  ม่วงมัน,มะม่วงมัน,มะม่วงมัน,น.,มะม่วงที่เหมาะสำหรับใช้ผลดิบรับประทาน รสหวานมันกรอบหรือหวานมันอมเปรี้ยวเล็กน้อย รับประทานสุกไม่อร่อย
4593,มะม่วงนิมพานต์,กายี/  กาหยู/  นายอ/  ยาร่วงกาหยี/  ยาโงย/  ท้ายล่อ/  ตำหยาว/  มะม่วงหัวครก/  มะม่วงทูนหน่วย/  มะม่วงยางหุย/  ม่วงเล็ดล่อ/  กะแตแก/  กระแตแหล,มะม่วงหิมพานต์/  มะม่วงหิมปาน/  มะม่วงไม่รู้หาว/  มะม่วงกาสอ/  มะม่วงกุลา/  มะม่วงลังกา/  มะม่วงหยอด/  มะม่วงสิงหล/  บ่าม่วงแตดห้อย,มะม่วงหิมพานต์/  บักม่วงหิมพานต์,น.,ชื่อพรรณไม้ยืนต้นขนาดย่อมชนิดหนึ่ง ทรง พุ่มกิ่งก้านแผ่ออกด้านข้าง ใบเดี่ยว ดอกช่อสีขาว เปลี่ยนเป็นสีชมพู มีกลีบ 5 กลีบ ผลรูประฆังมีเมล็ดเหมือนเมล็ดถั่วติดอยู่ที่ปลายผล เนื้อในเมล็ดรสเมามัน เมล็ดและยางใช้เป็นยา
4594,มะเม่า/  มะเม่าควาย/  มะเม่าดง/  ไอ้เม่า,ส้มเม่า/  ลูกเม่า,มะเม่า/  หมากเม่า/  บ่าเม่า/  มะเม่าดง/  หมากเม่าดง/  บ่าเม่าดง/  มะเม่าควาย/  มะเม่าตาควาย,มะเม่า/  หมากเม่า/  หมักเม่า/  บักเม่า,น.,ชื่อพรรณไม้ยืนต้นชนิดหนึ่ง ทรงพุ่มเตี้ย กิ่งก้านเล็กเรียว ใบกลมปลายมนดกหนาทึบ ออกดอกเป็นช่อ ผลกลม สีเขียวแกมขาว ต้นและรากใช้เป็นยา
4595,มะยม,ยม/  ลูกยม/  ลูกยุม,มะยม/  หมากยม/  บ่ายม,มะยม/  หมากยม/  หมักยม/  บักยม,น.,ชื่อพรรณไม้ยืนต้นขนาดย่อมชนิดหนึ่ง เปลือกไม้แข็ง เป็นปุ่มปม เนื้ออ่อนเปราะ ใบเดี่ยวรูปไข่ ออกดอกเล็กสีชมพูเป็นช่อ ผล กลมแป้นเป็นพูรอบ ออกเป็นพวง เมล็ด เดี่ยวกลมแข็ง ใบ ราก ผล และเปลือกลำต้นใช้เป็นยา
4596,มะยมเถื่อน/  มะยมป่า,ลูกยุมป่า/  ยุมป่า,มะยม/  หมากยม/  บ่ายม/  มะขามป้อมดิน,มะยมเถื่อน/  หมากยมเถื่อน/  หมักยมเถื่อน/  บักยมเถื่อน/  มะยมป่า/  บักยม,น.,ชื่อพรรณไม้พุ่มขนาดเล็กชนิดหนึ่ง แตกกิ่งมาก เปลือกต้นสีเทา ใบเดี่ยวรูปไข่หรือกลม ปลายเว้า โคนมน ขอบเรียบ ออกดอกเล็ก ตามง่ามใบ ผลกลมแป้น ก้านสั้น ใบใช้เป็นยา
4597,มะระขี้นก/  มะระเล็ก,ระ/  ผักไห/  ผักไห่/  ผักเหย,มะระ/  หมากระ/  บ่าระ/  มะไห่/  หมากไห่/  บ่าไห่/  มะห่อย/  หมากห่อย/  บ่าห่อย,มะระขี้นก/  หมากระขี้นก/  หมักระขี้นก/  บักระขี้นก/  ผักไห่,น.,ชื่อพรรณไม้เถาขนาดเล็กชนิดหนึ่ง เถายาว ใบเดี่ยวรูปมือ ขอบจักเว้าลึก ใบมีขนเล็ก ๆ ออกดอกเดี่ยวสีเหลือง ผลกลมรียาวเรียว หัวท้ายแหลม สีเขียว เมือสุกสีเหลืองส้ม ผิวขรุขระ ใบ ดอก ผล เมล็ด และราก ใช้เป็น ยา
4598,มะระจีน/  มะระ,มะระ,มะระ/  หมากระ/  บ่าระ/  มะนอย/  หมากนอย/  บ่านอย,มะระจีน/  หมากระจีน/  บักระจีน/  มะระขาว/  มะระใหญ่/  มะระ,น.,ชื่อพรรณไม้เถาชนิดหนึ่ง ใบรูปหัวใจโตขอบ แฉกเว้า มีขนเล็กๆ คลุม ออกดอกเดี่ยวสีเหลือง ผลรูปกระสวย หัวท้ายแหลม ผิว ขรุขระ ใบและผลใช้เป็นยา
4599,มะรดไม้/  เพกา,,มะริดไม้,ลิ้นไม้,น.,ชื่อพรรณไม้ชนิดหนึ่ง เปลือกใช้เป็นสีย้อมผ้าให้เป็นสีเขียว
4600,มะรุม,มะรุม/  รุม/  ลูกรุม,ผักอีฮุม/  ผักอีฮึม/  มะค้อนก้อม,มะรุม/  ผักอีฮุม,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง ใบย่อยรูปไข่ขนาดเล็ก ออกดอกเล็กสีขาวเป็นช่อโต ฝักกลมยาวปลายเรียว ผิวเป็นพู สี เชียว ใช้ใบ ดอก ฝัก เมล็ด เปลือกต้น กระพี้ และราก เป็นยา
4601,มะเร็ง,มะเร็ง/  เนื้องอก,สานลม,มะเร็ง/  ลูกมะเร็ง,น.,ชื่อโรคจำพวกโรคสานชนิดหนึ่ง มีก้อนเล็ก ๆ อยู่ในร่างกายตรงจุดใดจุดหนึ่ง ต่อมาจะเกิดมีรากฝอยออกมา มีหลายชนิด
