ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
33,ก้นจํ้า/  ใบก้นปิด,ก้นจํ้า/  ใบก้นปิด,ก้นจํ้า/  ใบก้นปิด/  บวบฮอก/  ปืนนกไส้/  ปังปอน,ก้นจํ้า/  ใบก้นปิด,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง ลำต้นเป็นเหลี่ยม มีขน ใบรูปไข่ปลายเรียวแหลม ขอบหยักฟันปลา ดอกเป็นกระจุกสีเหลือง กลีบเป็นฝอย ผลยาว ใบใช้เป็นยา
34,ก้นจํ้าขาว/  หญ้าก้นจํ้า ขาว/  กี่นกไส้,ก้นปิด,ปีกนกไส้/  ปืนนกไส้,,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง ใบประกอบเป็นช่อ ยอดเดี่ยว ปลายแหลม ขอบจักฟันเลื่อย เนื้อใบบาง ออกดอกสีขาวครีม ผลสีดำยาว ใบและต้นใช้เป็นยา
35,ก้นตะกรน/  หาง,ขี้โรย/  ลูกคัด/  เศษ,หิ่ง/  แป่,เศษ,น.,เหลือจากที่คัดหรือเลือกแล้ว
36,ก้นบึ้งน้อย,,บึ้งน้อย,,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง อายุปีเดียว ใบประกอบแบบขนนก ใบย่อยรูปวงรียาว ปลายและโคนใบแหลม ขอบเรียบ ออกดอกเป็นช่อสีชมพู ผลเป็นฝักแบนรูปไข่ รากใช้เป็นยา
37,ก้นปิด/  ใบก้นปิด,,ปังปอน/  ปังปอนแดง,,น.,ชื่อพรรณไม้เถาชนิดหนึ่ง ไม่มีมือจับ ใบเดี่ยวรูปไข่ปลายแหลม ออกดอกขนาดเล็ก ก้านสั้น เป็นช่อ ผลรูปไข่ รากและเหง้าใช้เป็นยา
38,ก้นย้อย/  ตะเกียบ,ก้นย้อย/  หัวต้นขา/  ใต้หัวขา/  ข้อต่อ,เส้นต้นขา/  ตะโก่ม,ก้นกบ/  ก้นหย่อน/  ปั้นดาก/  เส้นขาต่อ/  ขาต่อ,น.,อวัยะส่วนหนึ่งของร่างกาย เป็นรอยต่อ ระหว่างขากับก้น อาจรวมไปถึงเนื้อก้น 2 ข้างด้วย
39,กบจำศีล/  กบหม้อ,กบจำศีล/  กบบวชตัว/  กบบวช,กบจำศีล/  กบเข้าป้อด,กบจำศีล/  กบเข้าไง/  กบเข้าเบ้า/  กบเข้าบก/  กบปัก,น.,กบที่อยู่ในสภาวะนิ่งในรู ไม่ออกหาอาหารในช่วงระยะเวลาหนึ่ง
40,กบไสหมาก,เหล็กขัดหมาก/  เหล็กดัดหมาก,,ฮอ,น.,ชื่อเครื่องมือชนิดหนึ่ง สำหรับไสหมาก แยกเนื้อหมากออกจากเปลือกหมาก
41,กรงถังเบียร์,กรงถังเบียร์,,,น.,กรงนกหัวจุกแบบหนึ่ง ใช้หวายเป็นโครง ด้านบนและด้านล่างของกรงตัดเรียบตรง ตรงกลางป่อง ไม่มีลวดลาย
42,กรงเล็บ,กรงเล็บ/  อุ้งตีน,กรงเล็บ,กรงเล็บ,น.,กลุ่มเล็บของสัตว์ เช่น แมวหรือนก เป็นต้น ใช้ขยุ้มเหยื่อ
43,กรงสี่เหลี่ยม,กรงสี่เหลี่ยม,กรงเหลี่ยม,,น.,กรงนกหัวจุกแบบหนึ่ง รูปร่างเป็นทรงสี่เหลี่ยม ส่วนล่างกรงใหญ่กว่าส่วนบน
44,กรงสุ่มไก่,กรงสุ่มไก่,กรงสุ่ม,,น.,กรงนกหัวจุกแบบหนึ่ง ใช้หวายเป็นโครง ด้านบนกรงโค้งลงมา ด้านล่างตัดเรียบ ไม่มีลวดลาย
45,กรงหกเหลี่ยม,กรงหกเหลี่ยม,กรงเหลี่ยม,,น.,กรงนกหัวจุกแบบหนึ่ง มีเสา 6 เสา มีลวดลายต่างๆ ด้านบนโค้ง
46,กรดนํ้า/  ขัดมอนเล็ก/  กัญชาป่า/  กระต่ายจามใหญ่/  มะไฟเดือนห้า/  เทียนนา/  หูปลาช่อนตัวผู้/  หนวดแมว/  ปีกแมงวัน/  ช้างร้อง,ขัดมอนเทศ/  ตานซาน/  ตานลูกอ่อน,หญ้าหัวแมงฮุน/  หญ้าจ้าดตู้ด/  กระต่ายจาม,,น.,ชื่อพรรณไม้พุ่มขนาดเล็กชนิดหนึ่ง ใบเดี่ยว รูปไข่ สีเขียวเข้ม ขอบหยักฟันเลื่อย ออกดอกเดี่ยวเล็กสีขาว 4 กลีบ ผลกลมเมื่อแห้ง แตกออก ใบ ต้น ลูก และราก ใช้เป็นยา
47,กรรไกรตัดแต่งกิ่ง/  ตะไกรแต่งกิ่ง,กรรไกรตัดแต่งกิ่ง,กรรไกรแต่งกิ่ง,กรรไกรแต่งกิ่ง,น.,อุปกรณ์ชนิดหนึ่ง ใช้สำหรับตัดแต่งกิ่งไม้ที่ไม่ตองการหรือตัดกิ่งให้สวยงาม ทำจากเหล็ก มีใบมีดและด้ามจับ ลักษณะคล้ายกรรไกรทุกประการ
48,กรรเชียง,กรรเชียง,กรรเชียง,กรรเชียง,น.,เครื่องมือสำหรับใช้ให้เรือเคลื่อนที่ได้ คล้ายแจว มีหลักสำหรับพาดใช้เหนี่ยว
49,กรรเชียง/  ตีกรรเชียง,กรรเชียง/  ตีกรรเชียง,กรรเชียง/  ตีกรรเชียง,กรรเชียง/  ตีกรรเชียง,ก.,ทำให้เรือเคลื่อนที่ โดยใช้กรรเชียงพุ้ยน้ำให้เรือเดิน
50,กรรเชียงปู/  กุนเชียง,กรรเชียงปู,กรรเชียงปู,กรรเชียงปู,น.,ขาล่างสุดของปู
51,กรรณิการ์/  กันลิกา/  กณิการ์/  กรณิการ์,กรรณิการ์,ป่อเลียง,,น.,ชื่อพรรณไม้พุ่มชนิดหนึ่ง ใบเดี่ยวหนาค่อนข้างแข็ง ปลายแหลม หยาบ ออกดอกเป็นช่อ กลีบสีขาว 5-7 กลีบ กัานดอกสีแดงหรือส้ม ต้น เปลือก ดอก ใบ และราก ใช้เป็นยา
52,กรรมตามสนอง/  เวรกรรมตามทัน,กรรมตามสนอง/  กรรมตามทัน/  บาปตามทัน/  กรรมทันตา/  ใช้ชาติ,กรรมสนอง/  บาปคนหัว/  เวรเขิด/  เวรเกิด/  เวินเขิด/  เวินเกิด,กรรมตามสนอง/  บาปตามทัน/  บาปนํ้ากำไล,ก.,ผลกรรมที่เกิดขึ้นทันตาเห็น
53,กรรมแตก/  ผิดกรรม/  ผิดผี,ผิดผี,,,น.,การทำผิด ละเมิดข้อห้ามยามออกไปจับช้าง
54,กรวมตอ,กรวมตอ/  คร่อมตอ,กวมตอ,กวมตอ,น.,ตอไม้ที่ถูกอาคารสร้างทับไว้
55,กรวยป่า/  ตวย,กรวยเถื่อน,กรวย/  ก้วย/  สีเสื้อหลวง,ขุนเหยิง/  คอแลน/  หมากผ่าสาม,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางถึงขนาดใหญ่ชนิดหนึ่ง ใบเดี่ยวรูปไข่ยาวหนาสีเขียวเข้ม ผลสุกคล้ายผลมะไฟ มีรอยแตกกลางผล ใบ ดอก เมล็ด ราก และเปลือก ใช้เป็นยา
56,กรวยใส่หมาก,ซองหมาก,สวยหมากสวยพลู,กรวยหมากพลู/  สวยหมากพลู,น.,กรวยบรรจุหมากพลู ใช้เป็นเครื่องประกอบในการแสดงความเคารพ อย่างที่ใช้ดำหัวผู้อาวุโส
57,กรวยอุปัชฌาย์,กรวยอุปัชฌาย์,กรวยอุปัชฌาย์,กรวยอุปัชฌาย์,น.,เครื่องอัฐบริขารชนิดหนึ่ง
58,,กรอก/  สอก,กรอก/  โตน/  ตน,กรอก,ก.,บังคับให้สัตว์ เช่นวัวควาย ดื่ม
59,กรอบ/  เปราะ,กรอบ/  เปราะ/  เกรียบ/  กรวบ/  กรวบเกรียบ/  กรุบกริบ/  กรุบกรุบ,กรอบ/  ผ่อย,กรอบ/  กรบ/  เผาะ/  เซาะ,ว.,แตกหักเป็นชิ้นเล็กชิ้นน้อยได้โดยง่าย
60,กรอบแว่น/  อานม้า,,แมวด่าง,แมวด่าง,น.,แมวที่มีพื้นกายสีขาว มีสีดำรอบดวงตาและลายดำ ลักษณะเหมือนอานม้าตรงกลางหลัง นัยน์ตาสีเหลือง
61,กระกรั่น/  กระหรั่น/  กระหลั่น/  เดื่อง/  ทวย,,ปะคอ/  ก่งหาง,,น.,เครื่องมือจับช้างชนิดหนึ่ง เป็นห่วงเหล็กหลายขนาด นำมาร้อยติดกัน ใช้ยึดทามคอกับโช่ไม่ให้ร้ดคอช้างแน่นเกินไป
62,กระคน/  รัดประโคน/  สายประคน/  ประโทน,,ประโคน/  ประโกน/  สายประโคน/  สายประโกน/  สายปะคน/  สายปะคอ/  สายรัดทึบ/  สายยกหน้า/  สายรัดทึบ/  ปะอก/  โคน,,น.,เชือกหรือหวายที่ผูกจากใต้สัปคับโยงไปที่อกช้างหลังขาหน้า แล้วลอดลงไปผูกกับกระพัดหรือสายกระพัดใต้ท้องช้าง และพาดไปบนไหล่ช้างทั้ง 2 ข้าง
63,กระจก/  กระเบื้องแก้ว/  กระเบื้องสี,จกสี/  กระเบื้องเชรามิก,แก้วอังวะ/  ประดับแก้ว,กะจก/  กระจกแว่นฟ้า,น.,แก้วกระจกเรียบ นิยมนำไปประดับที่ช่อฟ้า ใช้สีเขียว เขียวอมฟ้า เหลือง และนํ้าเงิน
64,กระจอก,,,,น.,แมวที่มีขนกายสีดำปลอด แต่รอบปากเป็นวงสีขาว ดวงตาสีเหลือง
65,กระจอก/  เล็บ,เล็บ,เล็บ,เล็บ,น.,ส่วนเล็บของช้าง
66,กระจอกชวา,,ผีด,กี้,น.,ชื่อนกชนิดหนี่ง ปากหนาสีแดง หัวและคอสีดำ มีแต้มสีขาวข้างแก้ม ตัวสีเทาอ่อน ท้องสีชมพูอมส้ม หากินเป็นคู่หรือฝูงเล็กๆ ตามทุ่งนาหรือทุ่งหญ้า
